Model,Scenario,Region,Variable,Unit,2005,2010,2015,2020,2025,2030,2035,2040,2045,2050,2055,2060,2065,2070,2075,2080,2085,2090,2095,2100
MESSAGE-GLOBIOM 1.0,EMF33_tax_hi_none,World,Emissions|CO2,Mt CO2/yr,37547.0345,40094.78829,,42402.25662,,31037.20995,,24959.9944,,17009.66351,,11801.52759,,8272.191081,,6258.495672,,4672.761882,,3748.976139
MESSAGE-GLOBIOM 1.0,SSP1-26,World,Emissions|CO2,Mt CO2/yr,37720.3815,40267.69877,,38420.43876,,32769.34486,,28134.5926,,19794.23834,,9669.221596,,1691.518701,,-4199.503055,,-9066.820413,,-12215.37349
MESSAGE-GLOBIOM 1.0,SSP2-26,World,Emissions|CO2,Mt CO2/yr,37770.82026,40294.32257,,40656.96919,,34541.60238,,26305.61187,,16330.60141,,9247.853483,,2010.280498,,-4045.766822,,-6495.75301,,-8357.277098
MESSAGEix-GLOBIOM 1.0,CD-LINKS_NPi2020_1000,World,Emissions|CO2,Mt CO2/yr,35933.0697,38542.01816,,39615.22255,,32672.15942,,23754.91708,,12753.84243,,2666.29196,,-3524.55553,,-8356.86531,,-12605.78954,,-14648.69253
MESSAGEix-GLOBIOM 1.0,CD-LINKS_NPi2020_1600,World,Emissions|CO2,Mt CO2/yr,35933.0697,38542.01816,,39615.22255,,37981.07524,,33271.92656,,25181.95619,,13847.19271,,5163.226383,,-2068.503671,,-7525.726077,,-10662.64286
POLES ADVANCE,ADVANCE_2020_Med2C,World,Emissions|CO2,Mt CO2/yr,31803.05425,34853.41138,37830.03113,41831.40438,41329.22088,36418.18925,31920.6055,28211.01725,23431.6485,17779.7585,13959.1505,9578.1215,7532.33075,5984.2345,4315.95725,2956.159656,1100.977,222.832,-1064.0435,-1782.132
POLES ADVANCE,ADVANCE_2030_Med2C,World,Emissions|CO2,Mt CO2/yr,31803.05425,34853.41138,37830.03113,41831.40438,42762.76825,39602.0545,33953.02475,27053.8125,20528.629,15204.22625,10955.8105,8368.8145,6780.0935,5419.23075,4366.053375,2980.921469,2440.566125,1344.06475,300.45375,-734.8685
REMIND 1.5,EMC_Def_30$,World,Emissions|CO2,Mt CO2/yr,33845.74219,37423.04297,,38340.3125,,33345.06641,,26438.375,,19068.39844,,9195.972656,,570.5620117,,-4489.891113,,-8084.362793,,-10486.06152
REMIND 1.5,EMC_NucPO_30$,World,Emissions|CO2,Mt CO2/yr,33845.74219,37423.04297,,38397.09375,,33760.64453,,27347.98633,,20490.25391,,10606.7207,,1120.894043,,-4379.629883,,-7948.22998,,-10390.06055
REMIND 1.5,EMC_lowEI_30$,World,Emissions|CO2,Mt CO2/yr,33845.74219,37423.04297,,37059.80469,,30329.16797,,22282.18945,,15295.98828,,5000.130859,,-4106.570801,,-9142.601563,,-12037.63965,,-13879.58105
REMIND 1.7,ADVANCE_2020_Med2C,World,Emissions|CO2,Mt CO2/yr,36193.6379,38842.928,42927.3712,45171.8828,40022.8668,34609.5359,30777.0097,26153.3281,21862.9579,18075.6425,14535.1028,10947.9701,,5561.4727,,2435.4495,,141.1195,,-2032.2274
REMIND 1.7,ADVANCE_2020_WB2C,World,Emissions|CO2,Mt CO2/yr,36193.6379,38842.928,42927.3712,45171.8828,37888.4331,29161.4478,23173.5079,17376.3016,12961.4057,9153.793,5235.3642,1407.0146,,-3334.147,,-5370.1519,,-6524.9473,,-7839.8863
REMIND 1.7,ADVANCE_2030_WB2C,World,Emissions|CO2,Mt CO2/yr,36193.6379,38842.928,42927.3712,45171.8828,43281.0669,40939.5626,32090.0653,22326.4968,13760.496,7554.1957,2606.6702,-1763.3663,,-6902.833,,-9099.9905,,-10003.9283,,-10472.8374
REMIND 1.7,CEMICS-2.0-CDR12,World,Emissions|CO2,Mt CO2/yr,36193.6379,40127.0952,45416.1794,45912.1453,38065.66,28847.7,23070.45,18071.16,13763.44,9743.143,5533.752,1638.738,,-3482.582,,-5812.123,,-8506.86,,-10357.52
REMIND 1.7,CEMICS-2.0-CDR20,World,Emissions|CO2,Mt CO2/yr,36193.6379,40127.0952,45416.1794,45912.1453,39036.39,31093.76,26658.23,22085.67,18483.32,14978.04,10873.97,5795.052,,-4735.104,,-11450.41,,-14145.28,,-16974.09
REMIND 1.7,CEMICS-2.0-CDR8,World,Emissions|CO2,Mt CO2/yr,36193.6379,40127.0952,45416.1794,45912.1453,37196.52,26642.66,18770.45,13448.18,9154.858,6221.828,4256.167,2551.693,,-463.5589,,-3086.297,,-5997.72,,-7094.528
REMIND-MAgPIE 1.5,SSP1-26,World,Emissions|CO2,Mt CO2/yr,35779.8119,35914.1621,,35061.6098,,32056.1641,,28050.37,,21375.4155,,12105.5842,,3079.0481,,-2793.7697,,-6705.6059,,-8588.012
REMIND-MAgPIE 1.5,SSP2-26,World,Emissions|CO2,Mt CO2/yr,35075.4883,35595.9453,,43285.5779,,35991.7025,,27648.3423,,19351.5076,,7549.3641,,-1444.4899,,-6848.9714,,-10494.9234,,-12071.6879
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1000,World,Emissions|CO2,Mt CO2/yr,33799.5813,36445.8913,40425.1103,42026.688,35658.1026,29728.5776,23835.4125,18793.0676,14516.07,10289.4231,6033.3479,2024.0599,,-3011.8106,,-5674.8561,,-7641.2143,,-8996.9473
REMIND-MAgPIE 1.7-3.0,CD-LINKS_NPi2020_1600,World,Emissions|CO2,Mt CO2/yr,33799.5813,36445.8913,40425.1103,42021.6469,38097.8099,34421.7996,30639.4661,26907.3445,22720.1154,18635.6956,14686.3731,11073.4659,,6105.3905,,2818.9686,,658.526,,-1327.8201
REMIND-MAgPIE 1.7-3.0,EMF33_Med2C_limbio,World,Emissions|CO2,Mt CO2/yr,33348.0632,35888.0933,40424.7752,43855.5744,40629.6741,34797.944,29837.3913,26006.5429,23015.1621,19292.0485,15272.7352,11908.8448,,8344.0596,,5554.6555,,2955.1644,,683.9103
